description,category,merchant_base
Achizitie CALVIN KLEIN STORE Ploiesti 12345,Other,Calvin Klein store
Plata cu cardul Transfer card to card Drumul Taberei RO,Transfer,Transfer card to card
SALARY TRANSFER Floreasca #001,Salary,SALARY TRANSFER
Plata POS Apple One Mall Vitan RID:34521,Subscriptions,Apple One
POS bowling mega mall ROM #221,Entertainment,Bowling Mega Mall
Plata POS Origo Coffee Drumul Taberei (RO),Restaurants,Origo Coffee
Plata cu cardul western union transfer Sibiu #14,Transfer,Western Union transfer
Achizitie MCDS ROM,Restaurants,MCDS
POS Casa Inteligenta administrare AFI Cotroceni #001,Housing,Casa Inteligenta administrare
PURCHASE Mobexpert Bucharest AUT:887412,Other,Mobexpert
PMT POS Lem's mobilier Vitan,Other,Lem's mobilier
Plata cu cardul Epic Games Vitan AUT:887412,Entertainment,Epic Games
PMT POS expressvpn Bucharest,Subscriptions,ExpressVPN
Cumparare Payslip ACME SRL Online (RO),Salary,Payslip ACME SRL
Plata POS Coffee Lab Baneasa (RO),Restaurants,Coffee Lab
PURCHASE Coursera Specialization Mall Vitan (RO),Education,Coursera Specialization
Plata POS Sanador Diagnostic ROM 12345,Health,Sanador Diagnostic
Cumparare rebu bucuresti Center AUT:887412,Utilities,REBU Bucuresti
PMT POS takeaway Constanta #14,Restaurants,TakeAway
PMT PARK LAKE BOWLING Oradea RID:34521,Entertainment,Park Lake bowling
PURCHASE tichete cadou edenred Oradea,Salary,Tichete cadou Edenred
Achizitie plata chirie Cluj #4321,Housing,Plata chirie
Plata cu cardul norwegian air Center RO,Travel,Norwegian Air
direct deposit acme Park Lake (RO),Salary,Direct Deposit ACME
Plata POS AIRBNB Sibiu AUT:887412,Travel,Airbnb
PMT Factura apa ROM #001,Utilities,Factura apa
Achizitie administrator bloc 28 Bucuresti 12345,Housing,Administrator bloc 28
PURCHASE gift card Promenada #4321,Other,Gift card
PMT SALARY EMPLOYER Cluj,Salary,SALARY EMPLOYER
POS HOTEL ATHENEE PALACE Mall RID:34521,Travel,Hotel Athenee Palace
POS Salariu Net Iunie Bucharest #4321,Salary,Salariu Net Iunie
Achizitie EPIC GAMES STORE Brasov RO,Entertainment,Epic Games Store
POS CARWASH EXPRESS Store 04 AUT:887412,Transport,Carwash Express
POS gaze naturale Iasi #14,Utilities,Gaze Naturale
Cumparare Coursera Plus annual Floreasca #221,Subscriptions,Coursera Plus annual
PMT POS edX Microsoft Baneasa RO,Education,edX Microsoft
Plata POS KAUFLAND Cotroceni #14,Groceries,Kaufland
Plata POS PIZZERIA BONITA ROM #4321,Restaurants,Pizzeria Bonita
Plata POS iabilet Oradea,Entertainment,iaBilet
Cumparare Ramses Sushi Drumul Taberei #221,Restaurants,Ramses Sushi
Cumparare EXPEDIA Vitan 12345,Travel,Expedia
PMT Beraria H Floreasca 12345,Restaurants,Beraria H
Libraria Mihai Eminescu Cotroceni (RO),Education,Libraria Mihai Eminescu
Cinemax Iulius Mall Oradea #14,Entertainment,Cinemax Iulius Mall
PMT POS Tommy Hilfiger RO #4321,Other,Tommy Hilfiger
Pizzeria Presto Pipera,Restaurants,Pizzeria Presto
PMT omv petrolstation Bucharest #001,Transport,OMV PetrolStation
POS SHEIN ORDER Vitan RID:34521,Other,Shein order
PMT TucanoCoffee Park Lake #14,Restaurants,TucanoCoffee
PMT BRD TRANSFER EXTERN Online AUT:887412,Transfer,BRD transfer extern
PURCHASE Carte tehnica online RO #14,Education,Carte tehnica online
PMT Beans & Dots Cluj #221,Restaurants,Beans & Dots
PURCHASE CHIRIE LUNA IUNIE RO 12345,Housing,Chirie luna iunie
Plata cu cardul SNCF RO,Transport,SNCF
POS hostelworld Sibiu #14,Travel,Hostelworld
POS BABBEL LEARNING Pipera #4321,Education,Babbel Learning
PURCHASE APPLE ONE EU 12345,Subscriptions,Apple One
Plata POS Pharmacy 24/7 Iasi #221,Health,Pharmacy 24/7
Plata POS linea closer to the moon Sibiu (RO),Restaurants,Linea Closer to the Moon
Plata cu cardul avis rent EU RID:34521,Travel,Avis Rent
PURCHASE Surfshark VPN Baneasa #4321,Subscriptions,Surfshark VPN
Cumparare MEGA IMAGE Cluj (RO),Groceries,Mega Image
Achizitie Incasare de la Maria Drumul Taberei 12345,Transfer,Incasare de la Maria
POS SPOTIFY PREMIUM Mall #001,Subscriptions,Spotify Premium
baumax Mall RO,Other,BAUMAX
Achizitie Yango Center,Transport,Yango
Achizitie NORWEGIAN AIR Aviatorilor (RO),Travel,Norwegian Air
Cumparare Apple Music Cluj #221,Subscriptions,Apple Music
ACHIZITIE APLICATIE Store 04,Other,Achizitie aplicatie
Cumparare SPORTISIMO RO #14,Other,Sportisimo
Cumparare Hotels.com Pipera RID:34521,Travel,Hotels.com
PMT Coop RO RO,Groceries,Coop
PMT POS Bonus anual Pipera RID:34521,Salary,Bonus anual
Plata POS Wizz Air Center 12345,Travel,Wizz Air
Plata cu cardul COURSERA SPECIALIZATION Sun Plaza #14,Education,Coursera Specialization
Achizitie Alimentara Express Center 12345,Groceries,Alimentara Express
Achizitie UDEMY COURSE Drumul Taberei #221,Education,Udemy Course
Plata POS NOTION FAMILY EU AUT:887412,Subscriptions,Notion Family
Cumparare Biletul Sportiv Cotroceni AUT:887412,Entertainment,Biletul Sportiv
PMT POS HOTEL HILTON SIBIU Mall Vitan AUT:887412,Travel,Hotel Hilton Sibiu
PMT tfl oyster Cotroceni #4321,Transport,TfL Oyster
Plata POS uber romania Iasi #4321,Transport,Uber Romania
Plata POS burgerista Center RID:34521,Restaurants,Burgerista
PURCHASE PET SHOP ANIMALIER Floreasca #001,Other,Pet Shop Animalier
DOMINOS PIZZA Center #001,Restaurants,Dominos Pizza
Plata POS CAFFE DEL SUD Constanta #14,Restaurants,Caffe del Sud
PURCHASE Cinema City Promenada Oradea #4321,Entertainment,Cinema City Promenada
Coffee Shop Bohemia Park Lake #221,Restaurants,Coffee Shop Bohemia
PMT POS Sanador Diagnostic ROM AUT:887412,Health,Sanador Diagnostic
roviniete online Downtown RO,Transport,Roviniete Online
Plata POS XBOX LIVE Bucharest RO,Entertainment,Xbox Live
PMT POS HOTEL HILTON SIBIU Iasi RO,Travel,Hotel Hilton Sibiu
PMT CAFENEA AVIATORILOR Sun Plaza RO,Restaurants,Cafenea Aviatorilor
Plata POS WENDYS Center AUT:887412,Restaurants,Wendys
Cumparare Avans chirie Mall #14,Housing,Avans chirie
Plata cu cardul florarie online EU AUT:887412,Other,Florarie Online
khan academy Constanta #14,Education,Khan Academy
tichete vacanta Aviatorilor #4321,Salary,Tichete vacanta
Plata cu cardul trading212 deposit Store 04 12345,Investments,Trading212 deposit
POS Vodafone Romania Sun Plaza RID:34521,Utilities,Vodafone Romania
PMT WORKSHOP UI Bucharest AUT:887412,Education,Workshop UI
PMT teatrul mic Floreasca (RO),Entertainment,Teatrul Mic
Plata POS Profi Loco ROM RID:34521,Groceries,Profi Loco
Cumparare storia.ro listare Center #221,Housing,Storia.ro listare
Plata POS Internet fibra optica EU #001,Utilities,Internet fibra optica
Achizitie CARL'S JR ROM #14,Restaurants,Carl's Jr
PMT POS Administrator bloc 12 Galati RO,Housing,Administrator bloc 12
Cumparare Fond mutual BT Asset Mgmt Promenada (RO),Investments,Fond mutual BT Asset Mgmt
Cumparare trivago Pipera #4321,Travel,Trivago
PURCHASE Decont deplasare Bucuresti AUT:887412,Salary,Decont deplasare
SPORTISIMO Downtown #4321,Other,Sportisimo
Plata POS new yorker Oradea #14,Other,New Yorker
Achizitie Vulcanizare Auto Drumul Taberei #221,Transport,Vulcanizare Auto
Plata cu cardul BURSA BUCURESTI BVB Ploiesti #14,Investments,Bursa Bucuresti BVB
Plata cu cardul BT transfer Center #4321,Transfer,BT transfer
PURCHASE Top-up Revolut Ploiesti #4321,Transfer,Top-up Revolut
Achizitie western union transfer Store 04 12345,Transfer,Western Union transfer
Plata cu cardul FRESHMARKET Store 04 RID:34521,Groceries,FreshMarket
PMT Schimb valutar Raiffeisen Center RO,Transfer,Schimb valutar Raiffeisen
PURCHASE carturesti online Sibiu #221,Education,Carturesti Online
PMT Reparatii electrocasnice Ploiesti,Other,Reparatii electrocasnice
PMT CROITORIE DE LUX EU 12345,Other,Croitorie de Lux
Plata cu cardul WIZZ AIR Online #001,Travel,Wizz Air
PURCHASE Black Cab Center RO,Transport,Black Cab
Plata cu cardul Salariu Net Iunie Bucharest #14,Salary,Salariu Net Iunie
Achizitie ASE Taxa Master Pipera RO,Education,ASE Taxa Master
Plata POS Restaurantul La Mama Brasov #4321,Restaurants,Restaurantul La Mama
Achizitie BURGERFEST Online #001,Restaurants,BurgerFest
Plata POS UBER*TRIP Baneasa RO,Transport,UBER*TRIP
PMT STEAK HOUSE BUCURESTI Pipera #001,Restaurants,Steak House Bucuresti
Google Workspace Brasov #001,Subscriptions,Google Workspace
Achizitie Domo Romania Floreasca #14,Other,Domo Romania
POS property manager fees Baneasa #14,Housing,Property Manager fees
gog.com Store 04 (RO),Entertainment,GOG.com
Cinemax Downtown AUT:887412,Entertainment,Cinemax
wolt scooter Bucharest (RO),Transport,Wolt Scooter
PMT Tinder Gold Downtown #4321,Subscriptions,Tinder Gold
Plata cu cardul CEC VIRAMENT Aviatorilor (RO),Transfer,CEC virament
Achizitie BRILLIANT.ORG Bucharest AUT:887412,Education,Brilliant.org
POS Apple.com/bill Mall,Subscriptions,Apple.com/bill
PURCHASE Salariu luna iunie Promenada #14,Salary,Salariu luna iunie
Achizitie Trattoria il Calcio Cluj,Restaurants,Trattoria il Calcio
PURCHASE MIGROS Galati AUT:887412,Groceries,Migros
Hornbach magazin ROM,Other,Hornbach magazin
Cumparare Sportisimo Ploiesti #4321,Other,Sportisimo
PMT POS CEZ Vanzare RO (RO),Utilities,CEZ Vanzare
POS Family Market AFI Cotroceni #221,Groceries,Family Market
POS Bonus performanta Q1 Brasov #001,Salary,Bonus performanta Q1
Cumparare carrefour express Sun Plaza #4321,Groceries,Carrefour Express
POS Asigurare locuinta Branch 12 12345,Housing,Asigurare locuinta
Achizitie WENDY'S Store 04 #001,Restaurants,Wendy's
Cumparare RAJA CONSTANTA ROM #4321,Utilities,Raja Constanta
PMT POS Gold purchase BNR Park Lake 12345,Investments,Gold purchase BNR
POS CABLU TV + INTERNET Branch 12 RID:34521,Utilities,Cablu TV + Internet
PURCHASE transfer intern Cluj RO,Transfer,Transfer intern
Plata POS carrefour Online RID:34521,Groceries,Carrefour
POS Optimall optica Online 12345,Health,Optimall optica
AUDIBLE Constanta 12345,Subscriptions,Audible
NOTION PERSONAL Timisoara #001,Subscriptions,Notion Personal
Achizitie rent may Sun Plaza #221,Housing,RENT MAY
Plata POS INTERACTIVE BROKERS RO RO,Investments,Interactive Brokers
Plata POS Brutaria Anatolia Downtown 12345,Groceries,Brutaria Anatolia
Achizitie APA REGNAULT Iasi #4321,Utilities,Apa Regnault
PURCHASE Transfer card to card Promenada RID:34521,Transfer,Transfer card to card
Plata cu cardul Termoenergetica Floreasca #221,Utilities,Termoenergetica
POS Hornbach magazin Center #221,Other,Hornbach magazin
Libraria Humanitas Vitan #4321,Education,Libraria Humanitas
Cumparare Transfer in lei Aviatorilor RID:34521,Transfer,Transfer in lei
Plata POS H&M MAGAZIN Brasov,Other,H&M magazin
Babbel Learning Branch 12 RO,Education,Babbel Learning
POS Duolingo Super ROM RO,Subscriptions,Duolingo Super
PMT OTP virament Galati 12345,Transfer,OTP virament
Cumparare Apa Regnault Constanta #14,Utilities,Apa Regnault
Cumparare Farmacia Dona Ploiesti #001,Health,Farmacia Dona
POS Salariu Net Mai RO RO,Salary,Salariu Net Mai
UNIVERSITATEA BUCURESTI Downtown #4321,Education,Universitatea Bucuresti
Achizitie Pluralsight Skills Oradea RID:34521,Education,Pluralsight Skills
POS SALARIU ACME SRL ROM RO,Salary,Salariu ACME SRL
Bonus performanta Q2 Center (RO),Salary,Bonus performanta Q2
VIRAMENT SALARIU SRL Cluj #001,Salary,VIRAMENT SALARIU SRL
PMT CADOU ONLINE Bucharest (RO),Other,Cadou online
PURCHASE Revolut top-up RO RID:34521,Transfer,Revolut top-up
CAFENEA ORIGO Galati 12345,Restaurants,Cafenea Origo
PURCHASE baumax Sibiu RID:34521,Other,BAUMAX
PURCHASE broker bt capital Baneasa #221,Investments,Broker BT Capital
AeroItalia Sun Plaza (RO),Travel,AeroItalia
PURCHASE Nintendo Switch Online Sibiu 12345,Entertainment,Nintendo Switch Online
PMT POS Metrorex Drumul Taberei #14,Transport,Metrorex
Achizitie Krispy Kreme Bucharest #001,Restaurants,Krispy Kreme
POS Chirie studio Sibiu,Housing,Chirie studio
Plata cu cardul Profi Loco Mall RID:34521,Groceries,Profi Loco
Plata POS Headspace RO,Subscriptions,Headspace
POS Taxa scolarizare master Oradea RID:34521,Education,Taxa scolarizare master
Plata cu cardul CLOUDFLARE PRO Timisoara AUT:887412,Subscriptions,Cloudflare Pro
PURCHASE Kayak Branch 12 (RO),Travel,Kayak
PMT VULCANIZARE AUTO Downtown RO,Transport,Vulcanizare Auto
Plata POS IMOBILIARE.RO LISTARE Park Lake (RO),Housing,Imobiliare.ro listare
Plata POS ADOBE PREMIERE PRO HOME EU #4321,Entertainment,Adobe Premiere Pro home
PMT POS mado pastry & coffee Iasi (RO),Restaurants,Mado Pastry & Coffee
figma professional Store 04 #14,Subscriptions,Figma Professional
PMT POS Hotel Cismigiu Timisoara,Travel,Hotel Cismigiu
Cumparare taxa scolarizare master Store 04 AUT:887412,Education,Taxa scolarizare master
PMT POS NETFLIX STANDARD RO RO,Subscriptions,Netflix Standard
BOLT SCOOTER Vitan,Transport,Bolt Scooter
Achizitie protonmail Sun Plaza #4321,Subscriptions,ProtonMail
POS Trading 212 Invest Galati 12345,Investments,Trading 212 Invest
PMT Evomag Store 04 #14,Other,Evomag
PMT Mere Pere magazin Promenada AUT:887412,Groceries,Mere Pere magazin
POS bk ROM #001,Restaurants,BK
PMT STB Bucuresti Center RO,Transport,STB Bucuresti
Escape Room Logica Sibiu 12345,Entertainment,Escape Room Logica
Plata POS iService Apple Branch 12 #14,Other,iService Apple
POS Transfer Revolut to BCR Oradea (RO),Transfer,Transfer Revolut to BCR
Achizitie Mic.ro Downtown #001,Groceries,Mic.ro
PMT Decont salarial Sibiu AUT:887412,Salary,Decont salarial
Plata POS McD Bucharest #001,Restaurants,McD
POS PENNY MARKET Cotroceni #14,Groceries,Penny Market
PURCHASE CAUCIUCURI PREMIUM Cotroceni #221,Transport,Cauciucuri Premium
Plata POS REBU BUCURESTI Cluj RID:34521,Utilities,REBU Bucuresti
ETORO BUY Mall RO,Investments,eToro buy
Plata cu cardul Shake Shack Drumul Taberei #001,Restaurants,Shake Shack
Plata cu cardul Bitwarden Premium Bucharest #001,Subscriptions,Bitwarden Premium
Plata cu cardul factura apa Cluj #221,Utilities,Factura apa
PMT TAROM bilet online Galati RID:34521,Travel,TAROM bilet online
Achizitie Direct Deposit ACME Iasi AUT:887412,Salary,Direct Deposit ACME
PMT optica optiblu EU (RO),Health,Optica Optiblu
Achizitie Migros ROM #001,Groceries,Migros
Cumparare Piata Amzei Store 04 #001,Groceries,Piata Amzei
POS PROFI CITY EU,Groceries,Profi City
POS Sala Palatului concert Constanta AUT:887412,Entertainment,Sala Palatului concert
POS Sushi to Go Online RO,Restaurants,Sushi to Go
POS rcs rds ROM #14,Utilities,RCS RDS
Plata POS disney+ ro Park Lake AUT:887412,Subscriptions,Disney+ RO
transfer card to card Timisoara 12345,Transfer,Transfer card to card
Achizitie BILETE FOTBAL DINAMO AFI Cotroceni 12345,Entertainment,Bilete fotbal Dinamo
GITHUB PRO Cotroceni RO,Subscriptions,GitHub Pro
POS Amazon.com Center #14,Other,Amazon.com
PARKING MALL Constanta RO,Transport,Parking Mall
Achizitie domo romania Center RO,Other,Domo Romania
PMT POS REBU Bucuresti Downtown #14,Utilities,REBU Bucuresti
ORANGE PREPAY Downtown #4321,Utilities,Orange PrePay
AWS Free Tier Floreasca,Subscriptions,AWS Free Tier
PMT Colegiul National Lazar Sibiu #001,Education,Colegiul National Lazar
Achizitie chick-fil-a Mall #001,Restaurants,Chick-fil-A
Plata POS NETFLIX STANDARD Store 04 #001,Subscriptions,Netflix Standard
BRUTARIA PAUL Floreasca 12345,Groceries,Brutaria Paul
Cumparare electrician apartament Downtown (RO),Housing,Electrician apartament
Plata cu cardul Payroll June 2026 Timisoara AUT:887412,Salary,Payroll June 2026
Achizitie P2P payment Ana Online #14,Transfer,P2P payment Ana
Achizitie tommy hilfiger Drumul Taberei RO,Other,Tommy Hilfiger
Cumparare Mentenanta lift Store 04 (RO),Housing,Mentenanta lift
Achizitie HOTEL MARRIOTT BUCURESTI Store 04 12345,Travel,Hotel Marriott Bucuresti
McDonald's Vitan (RO),Restaurants,McDonald's
revolut invest Cluj #221,Investments,Revolut Invest
PMT POS ASIGURARE TRAVEL CITY Ploiesti AUT:887412,Travel,Asigurare travel City
PURCHASE LIFECLUB SALA Mall #221,Health,Lifeclub Sala
Plata POS AU BON PAIN Iasi RID:34521,Restaurants,Au Bon Pain
Plata POS OPTICA OPTIBLU Timisoara (RO),Health,Optica Optiblu
PURCHASE CAZARE CAMIN STUDENTI RO #001,Education,Cazare camin studenti
PMT POS OMV PetrolStation Cluj #4321,Transport,OMV PetrolStation
PMT Carturesti Park Lake #001,Education,Carturesti
PURCHASE Orange Romania Fixed Galati 12345,Utilities,Orange Romania Fixed
Plata cu cardul magazin animale companie EU #14,Other,Magazin Animale Companie
PMT POS Cafenea Origo Vitan,Restaurants,Cafenea Origo
PURCHASE ETF EUNL AFI Cotroceni AUT:887412,Investments,ETF EUNL
Plata cu cardul BOLT Galati RO,Transport,Bolt
Plata POS hotel athenee palace ROM #4321,Travel,Hotel Athenee Palace
Achizitie SALARY EMPLOYER Cotroceni AUT:887412,Salary,SALARY EMPLOYER
PMT POS CABINET FAMILIE DR. POPESCU RO RO,Health,Cabinet Familie Dr. Popescu
chipotle mexican grill Center,Restaurants,Chipotle Mexican Grill
PURCHASE CRYPTO STAKING REWARD ROM RID:34521,Investments,Crypto staking reward
Achizitie HOTEL HILTON SIBIU Floreasca RO,Travel,Hotel Hilton Sibiu
Cumparare CENTRUL MEDICAL AVIATORILOR Bucharest #4321,Health,Centrul Medical Aviatorilor
PURCHASE vila predeal Mall,Travel,Vila Predeal
Achizitie transfer card to card Galati #001,Transfer,Transfer card to card
POS PHARMACY 24/7 ROM #4321,Health,Pharmacy 24/7
Achizitie DATACAMP Iasi #001,Education,DataCamp
Plata POS CURATENIE APARTAMENT Center 12345,Housing,Curatenie apartament
PMT DUOLINGO SUPER Center #001,Subscriptions,Duolingo Super
PURCHASE Transfer Revolut to BCR Branch 12 RO,Transfer,Transfer Revolut to BCR
cec bank transfer Mall #221,Transfer,CEC Bank transfer
POS ÎNTREȚINERE CASA Cotroceni,Housing,Întreținere casa
POS TucanoCoffee Cotroceni #001,Restaurants,TucanoCoffee
Plata POS webull deposit Center RID:34521,Investments,Webull deposit
Plata cu cardul LINEA CLOSER TO THE MOON ROM #221,Restaurants,Linea Closer to the Moon
POS supeco Cluj RO,Groceries,Supeco
PMT POS ASE Bucuresti Baneasa #001,Education,ASE Bucuresti
PURCHASE HOTEL CARO Park Lake #001,Travel,Hotel Caro
PMT Booking.com Downtown 12345,Travel,Booking.com
PMT stripe payout Downtown,Salary,Stripe payout
BAUMAX Sibiu AUT:887412,Other,BAUMAX
Plata POS Mortgage payment Branch 12 #14,Housing,Mortgage payment
Plata cu cardul Aquatim Timisoara Ploiesti #221,Utilities,Aquatim Timisoara
Plata cu cardul Eurospar Iasi (RO),Groceries,Eurospar
Plata cu cardul PANDORA BIJUTERII Sibiu #14,Other,Pandora bijuterii
Plata POS plata chirie Store 04 AUT:887412,Housing,Plata chirie
Casa Inteligenta administrare EU 12345,Housing,Casa Inteligenta administrare
POS edX Microsoft Online #14,Education,edX Microsoft
Plata cu cardul Decont 7Card Sibiu #14,Salary,Decont 7Card
PURCHASE Orange Romania Sibiu RID:34521,Utilities,Orange Romania
PMT Frizerie Elite Bucharest,Other,Frizerie Elite
Plata POS tichet feribot Oradea RID:34521,Travel,Tichet feribot
PMT Spartan Ploiesti #4321,Restaurants,Spartan
PMT Workshop UI Promenada RO,Education,Workshop UI
Plata cu cardul Editura Polirom carte RO #14,Education,Editura Polirom carte
Achizitie Concert Sala Polivalenta Downtown #14,Entertainment,Concert Sala Polivalenta
Cumparare BROKERAGE TRADEVILLE Promenada #4321,Investments,Brokerage Tradeville
Plata cu cardul Plata freelance proiect RO RID:34521,Salary,Plata freelance proiect
centrul medical aviatorilor Center AUT:887412,Health,Centrul Medical Aviatorilor
Cumparare Edo Sushi EU #14,Restaurants,Edo Sushi
POS Transfer ING to Revolut Brasov #221,Transfer,Transfer ING to Revolut
Cumparare billa Ploiesti #4321,Groceries,Billa
Cumparare Hostelworld Center RID:34521,Travel,Hostelworld
PURCHASE BANK TO BANK SWIFT Park Lake (RO),Transfer,Bank to bank SWIFT
POS Taxi Pelicanul Oradea #4321,Transport,Taxi Pelicanul
POS întreținere casa Store 04 (RO),Housing,Întreținere casa
Plata cu cardul STRADIVARIUS Cotroceni,Other,Stradivarius
SALARIU NET APRILIE Cluj RO,Salary,Salariu Net Aprilie
Cumparare Norwegian Air Galati #221,Travel,Norwegian Air
PURCHASE Sala fitness 7card Floreasca #221,Health,Sala fitness 7card
Achizitie Enterprise Car Rental Downtown,Travel,Enterprise Car Rental
POS ROBLOX SUBSCRIPTION Bucharest #4321,Entertainment,Roblox subscription
